,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
82,SUJAY INDUSTRIES,"136-B, Kiadb Industrial Area, Bommasandra-Jigani Link Road, Bommasandra-Jigani Link Road, Bengaluru, Karnataka 562106, India",www.sujayindustries.in,919901925553,M/s. Bosch Ltd. M/s. Pricol Ltd. M/s. Ucal Fuel Systems Ltd. M/s. Delphi TVS Technologies Ltd. M/s. Trelleborg India Private Ltd.,"India, USA & Canada",14 Cr INR,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups,Robotics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper",IATF 16949:2016,"Manual,VMS,Profile Projector,Hardness Tester,Roughness Tester",NA,NA,NA,Yes,Yes,Yes,NA,70,8,3,6,NA,Total 135 Employees,NA,NA,Vishwas,Director,vishwas@sujayindustries.in,9901925553,,,,,,
83,PM INDUSTRIES,"63, TCM Royan Rd, Subhash Nagar, Cottonpete, Bengaluru, Karnataka 560053, India",www.pmindustries.co.in,919611678963,Toyota Kirloskar and TAFE,India and UAE,2 Cr,"Aerospace,Automotive,Machinery & Equipments,Consumer Goods,Hardware Startups,Healthcare",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper","ISO 9001,IATF 16949:2016",Manual,NA,Kaizen,3000Sq FT,Yes,Yes,Yes,20,75,8,Yes,6,NA,12,3,2,Ranjith,Partner,ranjith@pmindustries.co.in,9611678963,,,,,,
84,Abhinav Alloys Pvt. Ltd.,"F-3, MIDC, Ahmednagar, Maharashtra 414111, India",www.abhinavalloys.com,910241277751,"A) ENGINEERING COMPANIES Alfa Laval Ltd. ACG Pam Pharma Technologies Pvt. Ltd. Burckhardt Compression (I) Pvt. Ltd. Crompton Greaves Ltd JSL Ltd JSW Steel Ltd. Kirloskar Oil Engines Ltd. Larson & Toubro Ltd. Pro Minerals Pvt. Ltd. (Aditya Birla Group) Tecpro Systems Ltd. B) VALVE INDUSTRIES Crane Process Flow Technologies Ltd. Intervalve India Ltd. Metalex Cryogenics Ltd. Uni-Klinger India Ltd. C) SEAMLESS TUBE INDUSTRIES ISMT Ltd. (Steel Div. & Tube Div.) Jindal Saw Ltd. Maharashtra Seamless Ltd. D) AUTOMOBILE INDUSTRIES Delux Bearings Ltd. Force Motors Ltd. The Automotive Research Association of India, Pune Tata Motors Ltd Vehicle Research Development & Establishment, Ahmednagar ABHINAV ALLOYS PVT. LTD. F-3 , M.I.D.C. , AHMEDNAGAR-414111 TELE : (0241) 2777519 E) SPM MANUFACTURES Grind Master Machines Pvt. Ltd. HYT Machines Pvt. Ltd Izar Machines & Equipments Pvt. Ltd. Precision Automation & Robotics India Pvt, Ltd. (PARI) Tal Manufacturing Solutions Ltd. F) HEAT TREATMENT FURNACE MANUFACTURERS Tenova India Pvt. Ltd. Vulcan Engineers Ltd Kalyani Technotherm Ltd. Danieli Centro Combustion India Pvt. Ltd. G) EOU COMPANIES Forcas Impex Pvt. Ltd. Sai Link India Pvt. Ltd.",India,NA,"Automotive,Defense,Machinery & Equipments,Oil & Gas,Consumer Goods,Hardware Startups,Steel",Sand Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,200,70,8,3,6,NA,NA,NA,NA,MANISH,DIRECTOR,abhinavalloys@gmail.com,9225320209,,,,,,
85,ALLIED PRODUCTS,"MIDC, Gokul Shirgaon, Maharashtra 416234, India",www.alliedproducts.in,910231267278,"ïƒ˜Endurance Technologies Limited. Transmission Division, Disc Brake Division. ïƒ˜Emerson Climate Technologies (India) Pvt. Ltd. ïƒ˜Foundation Brake Manufacturing Pvt. Ltd ïƒ˜Borg Warner Emissions Talegaon Pvt. Ltd. ïƒ˜MT Autocraft . ïƒ˜Frank Faber India Pvt. Limited. ïƒ˜E C - V.S.T.Tillers Tractors Ltd. ïƒ˜Hindustan Hardy Ltd. ïƒ˜Kristeel Shinwa Ind. Ltd. ïƒ˜Intervalve Poonawalla Ltd. ïƒ˜Delval Flow Controls Pvt. Ltd. ïƒ˜Kirloskar Oil Engine Ltd. ïƒ˜Ghatage Patil Industries Ltd.",India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","CNC Machining,Sand Casting","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper",ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,8,3,6,NA,NA,NA,NA,Bakhtiyar,Marketing Manager,marketing@alliedproducts.in,9175998035,,,,,,
86,Alloy Steels,"Plot No.M-27 Industrial Estate, Udyambag, Udyambag Industrial Area, Udyambag, Belagavi, Karnataka 590008, India",www.alloysteelsbgm.com,918312441181,"OTIS, HYVA, Aqua Alloys, Thyssen Krupp",India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups",Sand Casting,NA,ISO 9001,Manual,NA,NA,2062 sq mt,Yes,Yes,Yes,NA,70,8,3,6,Yes,NA,NA,NA,JAYDEV,CEO,sales@alloysteelsbgm.com,9980127800,,,,,,
87,BIG CASTINGS PVT LTD,"Honaga, Belagavi, Karnataka 591156, India",www.bigcastings.com,910831241588,"CAT, JCB, Tata Hitachi, L&T",India,45 cr,"Automotive,Defense,Machinery & Equipments,Oil & Gas,Steel,Consumer Goods,Hardware Startups",Casting,NA,ISO 9001,Manual,NA,NA,3 Acre,Yes,Yes,Yes,550,60,8,3,6,Yes,NA,NA,NA,MAHANTESH,Plant Manager,mahantesh.mangasuli@bigcastings.com,9972937800,,,,,,
88,Dolphin Die Cast (P) Ltd,"UNIT 3 NO 266B, 6TH MAIN ROAD, Bommasandra Jigani Link Rd, Stage 2, Bommasandra Industrial Area, Bengaluru, Karnataka 560015, India",https://dolphindiecast.com/,919880143291,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","Die Casting,CNC Machining","Die Casting: Aluminium,CNC Machining: Aluminium Alloys",ISO 9001,Manual,NA,NA,44000 SQ FT,Yes,Yes,Yes,NA,70,8,3,6,NA,150 Employees Total,NA,NA,Vijay,Director,vijay@dolphindiecast.com,9880143291,,,,,,
89,Gujarat Precision Cast Pvt. Ltd.,"Survey, No. 188, Plot No, 3, NH 27, Shapar, Gujarat 360024, India",www.gpclgroup.com,912827253957,NA,"India, USA, Germany, Netherlands, Belgium, UK, France, Spain, Italy, Romania, UAE & Australia",56 Cr,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","Investment Casting,Sand Casting",NA,ISO 9001,Manual,NA,NA,67000 Sq m,Yes,Yes,Yes,500,70,8,3,6,Yes,250 + Employees,NA,NA,Mahesh,Marketing Rep,mkt@gpclgroup.com,9727011422,,,,,,
90,Metflow Cast Pvt Ltd,"4QVM+H2W, Shapar, Gujarat 360024, India",https://www.metflowcast.com/,912827253384,NA,"Canada, Romania, Netherlands, Finland, Spain, Portugal, France, Sweden, UK, Germany, USA, Thailand,",NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","Investment Casting,Sand Casting",NA,ISO 9001,Manual,NA,NA,NA,Yes,NA,Yes,125,70,8,3,6,Yes,NA,NA,NA,Chetan,Marketing Rep,info@metflowcast.com,9925329570,,,,,,
91,Raysons Shell Cast,"Plot No.2, 2 - A, MIDC, Shiroli, Maharashtra 416122, India",https://www.raysonsgroup.com/,919822045450,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Consumer Goods,Oil & Gas,Hardware Startups",Sand Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,60,8,Yes,6,Yes,NA,NA,NA,SATISH,Director,industries@raysonsgroup.com,9822045450,,,,,,
92,SRS ALLOYS PRIVATE LIMITED,"Plot No.43, Hirehalli Industrial Area, Tumkur, National Highway, HSR Layout, KG Halli, D' Souza Layout, Ashok Nagar, Bengaluru, Karnataka 572168, India",http://srsalloysindia.com/,918162243434,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","Sand Casting,CNC Machining",NA,"ISO 9001,IATF 16949",Manual,NA,NA,NA,Yes,Yes,Yes,170,60,8,3,6,NA,NA,NA,NA,Anand,Director,anand@srsalloysindia.com,9845494731,,,,,,
93,Super Quali Cast (INDIA) Pvt. Ltd.,"Survey no.111, Plot no. 1 Muskat Road, Shapar, Gujarat 360024, India",https://www.superqualicast.com/,912812388848,NA,"India, Israel, Europe, USA",NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups",Investment Casting,NA,ISO 9001,Manual,NA,NA,6 Acre,Yes,Yes,Yes,200,70,8,3,6,Yes,NA,NA,NA,Savan,Exe. Director - Sales & Marketing,info@superqualicast.com,9909330303,,,,,,
94,Technocast Foundry (TCF),"127/3B, Sangothipalayam Road, Arasur, Tamil Nadu 641407, India",https://www.technocastfoundry.net/,919943661000,NA,"Middle East , USA & Europe",NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups",Sand Casting,NA,ISO/TS 16949,"Manual,CMM",NA,NA,30000 sq m,Yes,Yes,Yes,120,60,8,3,6,Yes,300+ Employees,NA,NA,Murugan,Marketing Rep,marketing@tcf.net.in,9626252800,,,,,,
95,Varun Industries,"Keval Kanta Rd, Industrial Area, Rakhial, Ahmedabad, Gujarat 380038, India",http://www.castironfoundry.in/,918780989398,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups,Robotics",Sand Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,150,60,8,3,6,NA,NA,NA,NA,Varun,Director,info@castironfoundry.in,9426865591,,,,,,
96,AGARWAL FASTNERS PVT LTD,"Palghar - Manor Rd, Dungipada, Vevoor, Palghar, Maharashtra, India",https://www.aplhome.com/,917720010545,"â€¢ Ministry of Defence â€¢ Rail Coach Factory, Kapurthala â€¢ Hadquarters Office (Central Organization Railway Electrification, Allahabad) â€¢ Power Grid Corporation of India Limited (A Government of India Enterprise) â€¢ Nuclear Power Corporation of India Ltd. (A Government of India Enterprise) â€¢ Centre For Development of Telematics (Telecom Technology Centre of Govt. of India) â€¢ TBRL-Chandigarh",India,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Railways,Electrical & Electronics",,NA,ISO 9001,,NA,NA,NA,Yes,Yes,Yes,1.2,70,8,3,6,NA,NA,NA,NA,Arish,Marketing - Coordinator,marketing@aplhome.com,9177200105,,,,,,
97,ELECTRONIC FASTENERS LIMITED,"Plot No.: 71A SIPCOT Industrial Park Irungattukottai, Thandal Dharapara, Chennai, Tamil Nadu 602117, India",https://www.paragonfastener.com/,919886494908,NA,India,15 cr,"Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Railways,Electrical & Electronics",,NA,ISO 9001,"Manual,Profile Projector",NA,"5S , KAIZEN",38802 SQ FEET,Yes,Yes,Yes,200,50,8,Yes,6,Yes,18,10,2,Bharath,Sales Manager,kuduma123@yahoo.in,9886494908,,,,,,
98,Fine Thread form Industries,"Plot No. 373, 1, Rd O, Aji GIDC, Phase 2, GIDC, Rajkot, Gujarat 360003, India",http://www.ftifasteners.com/,912812384664,NA,India,100 cr,"Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Automotive,Robotics,Hardware Startups,Railways,Electrical & Electronics",,NA,IATF 16949,"Manual,Profile Projector,VMS,Hardness Tester,Roughness Tester",NA,NA,10.208 sq mt,Yes,Yes,Yes,NA,60,8,3,6,Yes,NA,NA,NA,MeetManvar,Marketing Rep,marketing@ftifasteners.com,9192656986,,,,,,
99,MG Tech Solutions,NA,NA,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ashok,Director,mgtechsolutionss@gmail.com,6361669210,,,,,,
100,Muthu Pattern Works,"6, Uppilipalayam Main Rd, Krishna Nagar, Sowri Palayam, Tamil Nadu 641028, India",http://www.muthupatternworks.com,917598274261,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
101,Balambiga Metal Finishers,"No 56, Sompura 1st stage, Dabaspet Industrial Area, Nelamangala Taluk, Pemmanahalli, Karnataka 562123, India",http://www.balambiga.com/,918296244468,Major automotive & aerospace OEM's,"India, Germany, US, Italy, Thailand, China, France, Japan,",NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Railways,Electrical & Electronics",Post Processing,NA,ISO 9001,,NA,NA,6070 sq ft,Yes,Yes,Yes,NA,75,8,3,6,NA,440 Employees In Total,NA,NA,Neelakandaganesh,Marketing Manager,enquiry@balambiga.com,9606030813,,,,,,
102,Proactive Polymers,NA,,NA,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
103,Sakti Rubber Products,NA,,NA,NA,NA,NA,,Injection Molding,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
104,Victory Seals,NA,,NA,NA,NA,NA,,Injection Molding,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
105,Synergy Punching Pvt Ltd,"#A3 & A4, 14th A Cross,, Maruthi Nagar, Peenya, Bengaluru, Karnataka 560058, India",https://www.synergypunching.com/,919844261816,"Schneider, Mitsubushu, Samsung, LG, Airtel, etc",India,18 mil $,"Machinery & Equipments,Consumer Goods,Healthcare,Robotics","Sheet Metal Fabrication,Welding,Laser Cutting,Sheet Metal Bending","Laser Cutting: Steel,Laser Cutting: Aluminium,Laser Cutting: Brass,Laser Cutting: Copper",ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,300,70,8,3,6,NA,NA,NA,NA,Nagaraju,MD,nagaraju@psworks.co.in,9844034218,,,,,,
106,Aqura Turn Tech,"Plot no 129, Sipcot Ph. I, Hosur, Tamil Nadu 635126, India",https://aquracnc.com/,919894765970,"MJ Casting Ltd, Hosur Uno Minda Industries, Hosur TATA Advanced Materials Limited, Bangalore Elkayem Auto Ancillaries Pvt Ltd, Hosur Jaya Shree Polymers Pvt Ltd, Hosur Roop Polymers Pvt ltd, Chennai Estee Auto Pressings Pvt Ltd, Hosur Hi Tech Industries, Hosur Mecolam Engineering Pvt Ltd, Bangalore JBM-Neel Metal Products Ltd, Hosur Rucha Engineers Ltd, Hosur",India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","CNC Machining,Die Casting","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper,Die Casting: Aluminium",ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,8,3,6,NA,NA,NA,NA,Vidya,MD,aqura2030@gmail.com,9894788840,,,,,,
107,SHIVANAND TECHNOCAST,"Near Falcon Pumps, Opp. Smit Enterprise Vavdi Main Road, Krishna Park, Gondal Rd, B/H, Vavdi, Rajkot, Gujarat 360004, India",https://shivanandtechnocast.com/,918758587595,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups",Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,300,60,8,3,6,NA,NA,NA,NA,Nikunj,MD,shivanandtechnocast@gmail.com,9998455339,,,,,,
108,Millennium Forging Pvt Ltd.,"Survey No. 239/1, Plot No. 14 - 17, National Highway No. 8B, Shapar, Gujarat 360024, India",http://www.millenniumforging.com/,912827253696,01 Mahindra Gujarat Tractor Ltd 11 Haldex INDIA Ltd 02 KSB Pumps Ltd. Sinnar-Nasik. 12 MS Fittings Mfg. Co. Pvt Ltd 03 The Freyssinet Press. Con. Co Ltd 13 RSB Transmission (TATA)- Jamshedpur 04 Sumo International Pvt Ltd 14 Lakshmi Automatic Loom Works Ltd 05 Small Arms Factory (Ordnance Factory) 15 G.M. Valves 06 Vehicle Factory (Ordnance Factory) 16 L&T Case Equipments Ltd 07 EMCO Lenze Pvt Ltd 17 Kerala Automobiles Ltd 08 Gujarat Automotive Gears Ltd 18 Bharat Earth Movers Limited 09 Ringspann Elecon (I) Ltd 19 Uniflow Valves Ltd 10 Oswal Industries Ltd 20 CRI Pumps Pvt Ltd,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Railways",Hot Forging,"Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",ISO 9001,Manual,NA,NA,41000 sq ft,Yes,Yes,Yes,1000,75,8,3,6,NA,78,6,NA,Dinesh,Director,info@millenniumforging.com,9825076070,,,,,,
109,Advance Technoforge Pvt Ltd,"Survey No.121, Padvala Village Road, Veraval Shapar Industrial Area, Dist-Rajkot, Opp: Waterflo Piping System, Padavala, Gujarat 360024, India",https://www.advancetechforge.com/,910282729335,"TATA, SKF, Mahindra Gears, etc","India, Germany, UK, France, USA, Finland, Checz",4.5 mil USD,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups","CNC Machining,Hot Forging","Forging: Plain Carbon and Low Alloy Steels,Forging: Mild Steel,Forging: Carbon Steel",IATF 16949:2016,"CMM,Manual",NA,NA,NA,Yes,Yes,Yes,500,60,8,3,6,NA,NA,NA,NA,Nilesh,Director,marketing@advancetechforge.com,9825368310,,,,,,
110,Accuspirals,"Building No- D-425, 424, 10th Main Rd, 2nd Stage, Stage 1, Peenya, Bengaluru, Karnataka 560058, India",https://www.accuspirals.com/,918028362280,NA,India,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper",ISO 9001,"CMM,Manual",NA,NA,25000 sq ft,Yes,Yes,Yes,NA,70,8,3,6,NA,NA,NA,NA,Bharat,Director,bharatjain@accuspirals.com,9845450333,,,,,,
111,Samay forge,"Shapar Main Rd, Rajkot, Gujarat 360004, India",https://samayforge.com,919426225506,NA,NA,NA,,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
112,Castomate Pvt Ltd,"1, Laxminagar Main Road, Opposite Ashok Garden, Mani Nagar, Mavadi Industrial Area, Chandreshnagar, Rajkot, Gujarat 360004, India",http://www.castomate.in/,912812388005,NA,India,NA,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups",Sand Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,60,8,3,6,NA,NA,NA,NA,Varun,MD,varun.castomate@gmail.com,7096005550,,,,,,
113,Ratnakar Technocast,"Amrut Udhyog, plot no. 70-71, behind Gujarat Solvent, Kothariya, Gondal Rd, Amrut Udhyog Nagar, Rajkot, Gujarat 360004, India",http://www.ratnakartechnocast.com/,912812782059,NA,"Germany, Taiwan, USA & INDIA",NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups,Railways",Sand Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,300,70,8,3,6,Yes,NA,NA,NA,Henil,Sales Manager,info@ratnakartechnocast.com,8000045023,,,,,,
114,LOCKTITE (INDIA) PVT LTD,"A15 & A16, 2nd Main Road, Phase II, zone a Mepz-Sez, Tambaram, Tambaram West, Tambaram, Chennai, Tamil Nadu 600045, India",WWW.LOCKTITEINDIA.COM,919500044152,NA,NA,NA,"Automotive,Machinery & Equipments","CNC Machining,Cold Forging","CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel,CNC Machining: Brass",IATF 16949,"Profile Projector,Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOKUL,Managing Director,locktiteindia@gmail.com,9500044152,,,,,,
115,Buhin Engineers Pvt Ltd,"161, Rapid nagar, Kundrathur High Road, Gerugambakkam, Chennai, Tamil Nadu 600116, India",www.buhingroup.com,919790949850,NA,NA,NA,Automotive,CNC Machining,"CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",ISO 9001,"CMM,Profile Projector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somnath,Business Development Manager,bd@buhingroup.com,9790949850,,,,,,
116,Smiths & Founders ( India) Limited,"Smiths & Founders (India) Limited #505, 5th Floor, Brigade Rubix, No.20, HMT Main Rd, Phase -1, Peenya, Bengaluru, Karnataka 560013, India",https://www.smithsandfoundersindia.com/,919243466610,NA,NA,NA,"Automotive,Machinery & Equipments,Railways,Oil & Gas,Steel","Forging,Casting,CNC Machining","Casting: Aluminium,Forging: Carbon Steel,Forging: Mild Steel,Forging: Plain Carbon and Low Alloy Steels,CNC Machining: Plain Carbon and Low Alloy Steels",IATF 16949,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anil,Marketing Executive,marketing@smithsandfoundersindia.com,9243466610,,,,,,
117,SRI AVM Industries,"QQ6Q+HWW, Sipcot Ph. I, Hosur, Tamil Nadu 635126, India",https://www.sriavmindustries.com/,918428020327,NA,NA,NA,"Automotive,Healthcare,Hardware Startups","Injection Molding,CNC Machining",Injection Molding: Plastic,IATF 16949,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaikunda,Plan Head,sriavm2@gmail.com,8428020327,,,,,,
118,Ashok Industries,"Plot No. 207, Bommasandra, Jigani Industrial Area, Bommasandra Jigani Link Road, Bommasandra, Industrial Area, Hennagara, Bengaluru, Karnataka 560105, India",https://www.ashokindustries.net/,NA,NA,NA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Healthcare",FRP Molding,NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suraj,,sales@ashokindustries.net,9686197642,,,,,,
119,Saanvi Founders,"5, Sharma Indl Estate, Saki Vihar Rd, opp. 55 Corporate Avenue, Muranjan Wadi, Marol, Powai, Mumbai, Maharashtra 400072, India",https://www.saanvifounders.in/,912227782522,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods","Casting,Sand Casting",NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manesh,Director,saanvifounders@gmail.com,9930353333,,,,,,
120,CREATIVE FORGE PVT. LTD.,"Survey No. 257 Plot No. 1, Shapar Main Rd, Veraval, Gujarat 360024, India",http://www.creativeforge.in/,918141988588,"Tirth Agro Technology Pvt. Ltd. - Bhunava York Transport Equipement (India) Pvt Ltd - Pune Synnova Gears & Transmissions Pvt. Ltd. - Pipaliya Automann USA Mahindra Gear & Transmission Pvt. Ltd. - Rajkot Radhika Hydraulic - Rajkot Liftwell Hydraulic - Rajkot Gunnebo India Pvt. Ltd. - Halol J. K. Files & Tools - Mumbai Sudarshan Elastomer Pvt. Ltd. - Surat Everest Kanto Cylinder Limited - Gandhidham Saraswati Auto Pvt. Ltd. - Aurangabad D&H Engineering (India) Pvt. Ltd. - Chikhali & U.K. Eppinger Toolong Asia Pvt. Ltd. - Chennai Twenty First Century Casting Pvt. Ltd. - Vitthal Udhyognagar Government Supply (Defence, Railway, etc.)","India, Germany, UK & USA",NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups,Railways",Hot Forging,NA,IATF 16949,"Manual,Hardness Tester",NA,NA,"4,475 SQM",Yes,Yes,Yes,700,60,8,3,6,Yes,Total 160 employees,NA,NA,Dishant,Marketing - Director.,dishant@creativeforge.in,9099099618,,,,,,
121,GIRNAR ALLOYS PVT. LTD.,"Deshmukh Road Corner, 90/C2, Mangalwar Peth, Tilakwadi, Belagavi, Karnataka 590006, India",https://girnaralloys.com/,NA,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Railways","Casting,Sand Casting",NA,ISO 9001,"Manual,Hardness Tester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hemant,MD,girnar.alloy@gmail.com,9448130570,,,,,,
122,PRK FABRICATORS PVT LTD,"Flat No-p-5, & 6, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048, India",https://www.prkfabricators.com/,919845054685,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics",Laser Cutting,"Laser Cutting: Steel,Laser Cutting: Aluminium,Laser Cutting: Brass,Laser Cutting: Copper",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pavithran,Director,prkenggw@gmail.com,9845054685,,,,,,
123,Chennai Forge Products Pvt Ltd.,"Brahmin St, Pattravakkam, Tiny Sector, Sidco Industrial Estate, Ambattur, Chennai, Tamil Nadu 600098, India",https://chennaiforgeproducts.com/,914426252859,"ï‚— Ashok Leyland Ltd, Ennore, Hosur, Alwar, Bhandara & UTK ï‚— TVS Sundaram Fasteners â€“ Autolec Div, Chennai ï‚— Lucas TVS Ltd, Chennai ï‚— B. H. E. L, Ranipet & Chennai ï‚— Bharat Earth Movers Ltd, Mysore, Pallakkad & KGF ï‚— L&T Valves Ltd, Kancheepuram , Coimbatore ï‚— Wabco-TVS India Ltd, Chennai ï‚— Pennar Industries, Chennai",India,NA,"Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","CNC Machining,Hot Forging","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper",IATF 16949,"Manual,Profile Projector,VMS,Hardness Tester,Roughness Tester",NA,"Kaizen, Six Sigma",NA,Yes,Yes,Yes,200,70,8,3,6,Yes,NA,NA,NA,Sukumar,General Manager,info@chennaiforgeproducts.com,9444904212,,,,,,
